is_ios,source_file,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,eventSpeedChange
0,android_turns.csv,5.0,11.005744,3.9670782,0.007919774,5.867347,12.236061,11.654456,2.1401458,20.93308,83.8736,11.061741,-0.5816049999999997
0,android_turns.csv,4.0,11.077823,8.410266,0.022246668,6.632653,13.936134,7.8963976,1.0478958,11.565957,97.73161,25.995245,-6.039736399999999
0,android_turns.csv,5.0,28.21075,7.4965787,0.047738302,1.6859748,24.084143,28.326454,1.8317864,8.103545,61.042343,42.109184,4.242310999999997
0,android_turns.csv,4.0,11.730898,5.215141,0.013094818,2.838829,6.6788406,16.478592,1.8212736,15.532129,81.56476,17.80004,9.799751399999998
0,android_turns.csv,5.0,7.8736277,6.700219,0.012346639,2.0234826,13.652272,6.4249334,1.4048803,14.824455,99.864006,19.696846,-7.2273386
0,android_turns.csv,5.0,21.27776,4.9982815,0.02355655,4.25373,20.778036,21.609365,1.294492,7.6606374,38.567486,70.58639,0.8313290000000002
0,android_turns.csv,4.0,18.307573,4.7809925,0.021037154,5.165283,16.037752,19.157139,1.0714308,7.572877,36.480156,58.138577,3.1193869999999997
0,android_turns.csv,4.0,17.592905,16.29931,0.07852907,4.326119,21.720446,19.703844,0.79695046,10.235713,167.20583,14.7072735,-2.016601999999999
0,android_turns.csv,5.0,10.070179,5.6124067,0.013701896,2.3605266,11.171114,11.197522,0.58014894,14.663171,82.82662,10.096823,0.026407999999999987
0,android_turns.csv,5.0,10.705303,4.055422,0.008311641,2.334535,9.366481,12.997513,1.5767471,19.44515,92.001335,14.57983,3.6310319999999994
0,android_turns.csv,4.0,7.2296796,7.531641,0.013618123,0.8419657,5.3675613,15.970686,1.5547556,10.250287,83.14006,12.24859,10.6031247
0,android_turns.csv,5.0,11.7800865,4.01975,0.013648218,21.593111,9.952721,13.710989,2.185914,20.158077,81.79487,2.8815463,3.7582679999999993
0,android_turns.csv,4.0,7.7639394,4.762125,0.006818876,7.3026905,3.5323386,11.880538,1.5152967,18.577728,89.144806,9.320921,8.348199399999999
0,android_turns.csv,4.0,13.615067,8.093875,0.026856184,2.9291186,9.199824,17.919739,1.4444267,9.345539,75.97932,16.252998,8.719915
0,android_turns.csv,5.0,14.157781,4.309625,0.015508518,1.0397775,7.8879924,19.682228,2.5149684,21.224545,92.23849,3.3862503,11.794235599999999
0,android_turns.csv,4.0,17.895733,5.2400002,0.019651614,2.37064,18.294924,20.074287,1.7509116,14.534798,76.684,6.5688667,1.779363
0,android_turns.csv,5.0,18.947645,5.194766,0.020421822,3.362414,16.504843,23.368797,2.417439,15.8768635,83.04935,11.624009,6.863954
0,android_turns.csv,4.0,12.65365,5.3591876,0.018434022,0.8658496,3.6780252,20.732443,2.0960388,18.82185,101.55138,15.804001,17.0544178
0,android_turns.csv,5.0,12.879081,4.7797503,0.014810964,2.2467723,6.7791433,18.647213,2.6488438,17.624746,84.88009,15.677821,11.8680697
