eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius
4,18.418962,4.722125,0.02160642,1,17.34694,17.85078,21.810163,2.9045818,3.3321335,3.7980337,3.0416138,3.4372258,3.8731837,1.0899464,4.138344,6.8066006,18.148607,19.948822,91.902885,94.99243,19.63907,54.535625
5,12.40756,1.9843439,0.006954479,0,7.142857,9.954382,15.367777,0.21469252,0.2809072,0.35157353,0.2870221,0.40711427,0.5116576,0.8872667,5.7782803,5.7782803,7.2568073,0.09871277,88.80139,0.19979768,8054.9233,43.543617
5,10.073687,3.7299378,0.006174002,1,17.34694,10.849157,8.4780035,2.0994563,3.0240765,3.5072713,2.9104438,3.2546568,3.7085848,0.07649572,0.37041876,0.37041876,1.7426564,23.229597,7.300114,87.56671,11.355587,310.0255
4,19.197416,3.9681175,0.023005575,0,21.938776,15.188823,22.123335,1.7249662,2.5548377,2.9722328,2.2408004,2.9666095,3.3022382,2.3819964,3.0646284,3.2659123,16.657774,10.386413,75.10146,41.62665,29.786037,41.06087
5,12.030262,8.967961,0.033883803,0,26.785715,5.547611,16.038858,1.7073464,2.3663878,3.0379615,1.9768536,2.5136507,3.2937994,1.3039789,1.9549081,2.249023,11.3515215,7.4964104,108.90227,67.52499,207.02296,25.824022
4,12.10504,5.992164,0.022547185,0,26.530613,2.572481,21.787794,0.63248074,1.0207905,1.2455086,2.0751402,2.2327528,2.652792,1.2881926,2.8218422,3.4022534,13.667849,11.077278,94.1016,66.81645,18.27711,21.48534
4,9.850833,5.75825,0.012756605,0,1.4000087,13.424994,8.185909,1.2526429,1.851043,2.5490696,1.5623546,2.3022764,3.074963,1.145862,1.5328212,1.7844068,14.358303,15.483484,92.04743,89.71851,14.272612,15.072842
4,14.316982,5.161219,0.016126307,2,2.119146,14.597254,14.814849,2.0219226,2.312111,2.5831175,2.0378041,2.3146324,2.5903244,2.2793093,2.464019,2.5637589,14.63602,16.502178,80.24369,85.76696,17.712963,17.799936
4,7.210403,4.959875,0.010095953,0,18.622448,11.676826,4.8541594,0.51666164,0.966378,1.1747115,1.0717824,1.2678201,1.8525716,0.7463612,0.93543637,1.2246559,15.947982,7.756005,87.10217,38.776566,28.726389,11.392315
5,12.853457,4.444125,0.015564287,2,17.857143,13.242683,13.667703,1.477237,1.8896221,2.2676663,1.7569985,2.0439603,2.4006557,2.228708,2.3299518,2.4365537,20.093945,20.320848,92.700005,91.114716,8.4555645,16.749655
4,14.571425,4.642375,0.017379694,2,15.816326,12.862406,17.761303,2.5766819,2.841389,3.3035882,2.6612854,2.8855653,3.3236568,2.1925633,3.07606,3.2980251,19.989767,20.230974,95.99999,94.722496,17.039085,16.156975
4,25.441462,6.3885,0.035682037,2,22.448978,24.248428,30.019733,3.0809636,3.3797526,3.6204774,3.2389205,3.441998,3.6873493,3.267849,3.4906955,3.658103,13.258198,14.840901,93.100006,95.399994,36.00018,38.060852
5,32.380566,13.411626,0.10763009,2,16.836735,32.144825,32.927753,2.3012023,2.4491417,2.8787706,2.3346474,2.4952855,2.8893943,3.3669114,3.6567152,4.0459485,11.773367,12.446634,163.10172,167.4235,42.864857,60.64702
4,18.134125,5.9517503,0.024452977,2,8.928572,16.32966,22.145704,2.259953,2.7857912,3.748549,2.6223006,2.9706683,3.7756524,2.372816,2.5978703,2.9382,14.315116,15.058513,92.00116,90.222,29.315989,31.554314
5,11.956444,4.007735,0.010325372,1,16.836735,3.265932,21.139082,2.70054,3.7263467,4.290103,3.0600047,3.7675982,4.3028164,2.283702,3.890077,3.890077,18.589054,21.086802,80.20125,85.34704,16.399647,15.000349
4,6.8823185,6.110883,0.011722511,1,21.428572,11.229438,3.937014,1.848624,2.0027947,2.1910553,1.928998,2.1327472,2.3289254,0.16999051,0.43672198,0.9926642,1.65279,14.422221,4.9000854,88.704796,29.668463,45.69427
5,12.732662,4.4438753,0.011843282,1,33.163265,13.04136,7.9635053,0.4028617,1.267019,1.7549968,2.0665636,2.3473122,2.65314,0.47822478,0.62439215,0.82181865,4.8606224,20.292692,16.900263,90.98336,4.7839932,71.069244
4,11.900519,4.7613754,0.009399966,1,32.908165,8.500372,15.390145,0.84269226,1.4512256,2.228602,1.9651669,2.2065258,2.5384412,2.028751,3.024251,3.024251,15.877767,18.6552,98.20103,89.56461,6.2033405,12.686773
5,12.124214,4.2456565,0.014274939,1,27.040817,5.0107455,19.573225,0.68056303,1.6087294,2.531265,2.3598387,2.6397352,3.1623788,1.4425807,1.5197046,1.7714617,8.102398,21.221167,71.301674,90.93981,4.237067,43.21764
4,15.582523,5.634219,0.020680703,1,45.918365,17.806042,24.315536,0.10958679,0.76587945,0.89142454,2.2714994,2.5323596,2.826335,0.7321634,1.460784,4.796385,10.329736,16.982914,54.90086,96.3593,5.6149263,44.001976
4,6.179547,4.1260004,0.005313388,2,14.540816,2.863283,7.44901,1.2749698,1.5606492,2.102929,1.4045606,1.7081897,2.1885605,0.87424695,2.2325914,2.2325914,14.857002,18.846476,61.30001,78.50827,9.61477,11.883249
5,14.611691,4.879688,0.016757993,2,13.265306,7.0016212,18.499495,1.1814871,1.6629721,2.0074883,1.9222938,2.2794585,2.7395194,2.5062776,2.85783,3.0156384,14.304194,13.398033,56.50088,65.90975,18.107216,23.930475
4,17.297138,3.8878438,0.01455754,2,9.183674,14.808542,18.074472,2.1302743,2.4640508,3.013975,2.2125983,2.4755142,3.0239804,1.2773721,1.8887444,1.8887444,7.613474,17.38199,42.400887,68.26804,19.817532,44.275433
5,10.714942,4.959125,0.020981519,0,16.071428,7.8069205,13.824288,0.6968249,1.5704839,2.5993528,1.8480603,2.6351447,3.830902,1.1176788,1.2589943,2.473414,18.410507,16.465385,102.50112,82.307144,7.2691784,19.67673
4,10.066229,7.1405005,0.017621847,0,8.418367,18.924511,5.8607817,0.983119,1.5961096,1.8831146,1.4150406,3.0321329,3.5879068,0.6307887,1.238147,2.2883968,14.116658,11.769137,101.802734,84.50441,26.907755,20.094719
5,17.694193,4.0859375,0.013396961,1,11.989796,15.390145,19.796917,1.7465339,2.221047,2.785536,2.656713,2.9944594,3.3348584,1.9290606,2.9162097,2.9162097,10.401529,22.1415,54.101128,91.34713,8.719348,33.199898
4,14.562478,4.4428754,0.012266297,1,6.8877554,9.216192,20.020609,2.069018,2.2266111,2.4648147,2.767066,3.0623803,3.2836187,3.145557,3.3086102,3.3086102,18.20893,21.811087,96.70201,97.76915,12.454933,16.861912
5,16.005304,4.2444534,0.012463305,1,8.163265,8.388525,21.877274,0.7662349,1.198626,2.2388117,2.8727238,3.2828324,3.626615,1.4202933,2.560783,2.560783,9.424064,15.729628,51.301075,67.38763,9.477533,34.798714
4,13.6140175,5.2362347,0.018170988,1,6.632653,2.706697,18.320538,1.645119,1.9691405,2.1415553,2.1288443,2.2722888,2.6016493,1.6009127,2.4833622,2.9729834,11.133954,16.513271,75.701775,87.12242,15.664234,24.64516
5,10.084125,4.284133,0.013774924,1,13.265306,7.560857,11.028113,0.19363514,1.3276539,1.8725759,2.8907151,3.4567678,4.2495975,0.13749334,0.38307196,3.1835692,9.686908,20.262194,39.500927,87.60969,4.315908,96.82727
4,13.332162,4.839578,0.015703784,1,8.163265,4.652835,17.381023,1.0653768,1.21833,1.5739068,1.8026978,2.3271666,2.8984466,2.4838338,2.8517563,3.7567205,18.038763,18.086489,83.70181,88.24844,7.870353,16.118462
4,11.1847,4.957797,0.014975022,0,12.244898,6.822666,5.4357634,0.73337364,1.0478745,1.5706708,1.6104479,1.822879,2.246807,1.939951,3.4138246,4.6772695,20.755184,2.3516674,112.90247,11.752362,112.52869,15.362019
5,16.508615,5.1958594,0.017310476,1,10.204082,15.770426,19.841658,3.8121257,4.1703267,4.405402,4.9222465,5.7735386,6.2287235,2.3482773,3.018728,6.3600883,18.97665,19.959627,100.601974,104.499084,31.65364,18.25647
4,10.925213,4.759578,0.015751127,1,10.714286,6.733189,6.5542336,1.4684823,1.9676204,2.655137,2.8619123,3.2661366,3.816565,0.6926851,2.6878743,3.0741925,15.10638,18.415058,77.60152,88.3783,11.967961,17.66772
5,15.54114,2.9352267,0.012317121,0,8.163265,11.699197,19.75218,1.9438674,2.2414966,2.4828243,2.3692174,2.6524072,2.808069,3.1240988,4.04717,4.04717,22.75804,0.41145042,120.402504,1.2240205,792.94794,15.11651
4,19.489336,2.9352071,0.010967031,0,9.183674,28.453875,9.797797,1.0387466,1.1610756,1.2793267,1.8561033,2.1358514,2.4329329,1.3002179,2.1327176,2.1327176,7.290797,0.011386771,30.60064,0.033874188,52144.42,58.76811
5,12.362821,1.9435626,0.007654418,0,10.204082,9.104344,14.763803,0.82727146,0.98338056,1.2091472,1.7491792,1.8745744,2.1271176,2.5477111,5.171201,5.171201,16.824774,0.13087788,105.50124,0.25956059,804.2618,13.708865
5,6.326066,3.966469,0.00531699,0,20.918367,0.38027978,9.238562,0.492532,2.0382886,3.0134022,1.5863299,2.654108,3.7093616,0.10503109,0.7568417,15.775641,42.909702,3.2935812,205.60483,13.194527,13.019783,22.535734
4,10.714942,0.9519688,0.00274802,0,14.795918,11.453132,9.976752,0.24061728,0.3481319,0.45302796,0.35745665,0.44175604,0.5279964,1.1739641,1.1739641,1.1739641,9.97932,1.3710306,27.50043,1.3595608,462.9006,21.597584
5,9.593277,5.9498754,0.015011968,0,16.836735,13.175575,8.858281,0.33264446,0.87066627,1.3545945,0.56191176,1.1577907,1.5250862,0.90461475,1.2999213,2.663964,14.6893835,2.8554928,96.20176,17.103092,291.74667,18.102543
5,15.201249,7.933219,0.03602063,0,15.306123,18.007366,17.738934,0.7765442,1.1232921,1.4181156,0.93377674,1.1392074,1.4769051,1.45389,1.6984041,3.1568668,14.533823,4.2149415,123.303375,33.605244,182.64848,32.868797
4,16.650288,1.9833361,0.009135771,0,8.67347,14.182199,20.73643,0.7980175,0.91278934,1.0793359,1.5150537,1.6329392,1.8508929,2.5567687,6.099395,6.099395,29.999958,5.9075737,67.40448,11.951038,72.03542,17.661345
5,16.128336,1.9834219,0.012375378,0,30.612246,14.741432,20.199566,0.08667755,0.49039984,0.8069205,1.2980502,1.385586,1.595577,4.594246,5.9002233,5.9002233,30.30117,0.3542696,111.401085,0.7167193,1179.225,7.8616066
5,7.122416,3.9271448,0.005471371,0,9.183674,15.166451,0.022369398,0.3348894,0.467618,0.66042566,1.9738691,2.594234,3.302151,0.5442663,0.62714976,1.0557562,8.963258,0.011354961,40.500793,0.045043007,45430.44,17.188272
4,12.504493,0.9521563,0.003068156,0,11.479591,11.632087,13.376901,0.23657706,0.27473465,0.30555996,1.2428336,1.4704628,1.5153694,2.822017,2.822017,2.822017,15.333608,19.676603,60.0,19.515835,1.8382682,15.014714
4,25.44892,5.516125,0.018289572,0,16.581633,26.888016,15.703318,1.0179846,2.1885996,3.0761273,1.3469753,2.5945508,3.2250764,3.0023046,3.6939774,4.5147223,14.575449,14.7037735,85.102135,81.69137,14.524422,38.241302
5,18.997211,4.087375,0.009306922,1,13.010204,16.150705,20.244307,1.044087,1.7954518,2.3122354,2.2638881,2.493808,2.9594383,3.5647917,4.763687,4.763687,18.64277,21.503347,78.80001,88.74557,5.307482,23.578144
4,19.389793,4.6826253,0.02015866,1,13.265306,17.090221,24.673449,1.7482495,2.0799088,2.545123,2.6116943,2.9641993,3.2419624,2.6818702,3.8885942,6.8259907,21.291475,20.363525,106.80335,96.16284,12.263102,22.917694
