init_time,eventAction,payloadCreation,eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,eventSpeedChange,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius,validity_mean,speed_gap,aggressive
10290106.12,1,1,1075209.8,1088621.4,5,32.380566,13.411626,0.10763009,41.81255,-87.9471,41.812683,-87.9457,2,16.836735,32.144825,32.927753,-1,2.3012023,2.4491417,2.8787706,2.3346474,2.4952855,2.8893943,3.3669114,3.6567152,4.0459485,11.773367,12.446634,163.10172,167.4235,42.864857,60.64702,1,0.7829280000000054,0
10290106.12,1,1,895063.7,901015.44,4,18.134125,5.9517503,0.024452977,41.774254,-87.94679,41.77451,-87.94654,2,8.928572,16.32966,22.145704,-1,2.259953,2.7857912,3.748549,2.6223006,2.9706683,3.7756524,2.372816,2.5978703,2.9382,14.315116,15.058513,92.00116,90.222,29.315989,31.554314,1,5.816043999999998,0
10290106.12,1,1,211029.34,215037.08,5,11.956444,4.007735,0.010325372,41.77242,-88.03169,41.77247,-88.03151,1,16.836735,3.265932,21.139082,-1,2.70054,3.7263467,4.290103,3.0600047,3.7675982,4.3028164,2.283702,3.890077,3.890077,18.589054,21.086802,80.20125,85.34704,16.399647,15.000349,1,17.87315,0
10290106.12,1,1,107340.484,113451.37,4,6.8823185,6.110883,0.011722511,41.75804,-88.031494,41.75807,-88.03127,1,21.428572,11.229438,3.937014,-1,1.848624,2.0027947,2.1910553,1.928998,2.1327472,2.3289254,0.16999051,0.43672198,0.9926642,1.65279,14.422221,4.9000854,88.704796,29.668463,45.69427,1,-7.2924240000000005,0
181189640.9,1,1,362567.88,366693.88,4,6.179547,4.1260004,0.005313388,41.822544,-87.870476,41.82257,-87.87056,2,14.540816,2.863283,7.44901,-1,1.2749698,1.5606492,2.102929,1.4045606,1.7081897,2.1885605,0.87424695,2.2325914,2.2325914,14.857002,18.846476,61.30001,78.50827,9.61477,11.883249,1,4.585727,0
181189640.9,1,1,296473.34,301353.03,5,14.611691,4.879688,0.016757993,41.81799,-87.86957,41.81813,-87.869804,2,13.265306,7.0016212,18.499495,-1,1.1814871,1.6629721,2.0074883,1.9222938,2.2794585,2.7395194,2.5062776,2.85783,3.0156384,14.304194,13.398033,56.50088,65.90975,18.107216,23.930475,1,11.4978738,0
181189640.9,1,1,199594.08,203481.92,4,17.297138,3.8878438,0.01455754,41.817307,-87.859955,41.81748,-87.86011,2,9.183674,14.808542,18.074472,-1,2.1302743,2.4640508,3.013975,2.2125983,2.4755142,3.0239804,1.2773721,1.8887444,1.8887444,7.613474,17.38199,42.400887,68.26804,19.817532,44.275433,1,3.265930000000001,0
181189640.9,1,1,96761.87,101720.99,5,10.714942,4.959125,0.020981519,41.805305,-87.859314,41.805542,-87.859474,0,16.071428,7.8069205,13.824288,-1,0.6968249,1.5704839,2.5993528,1.8480603,2.6351447,3.830902,1.1176788,1.2589943,2.473414,18.410507,16.465385,102.50112,82.307144,7.2691784,19.67673,1,6.017367499999999,0
267223511.5,1,1,599472.0,606612.5,4,10.066229,7.1405005,0.017621847,41.82244,-87.871796,41.822628,-87.87163,0,8.418367,18.924511,5.8607817,-1,0.983119,1.5961096,1.8831146,1.4150406,3.0321329,3.5879068,0.6307887,1.238147,2.2883968,14.116658,11.769137,101.802734,84.50441,26.907755,20.094719,1,-13.063729299999999,0
267223511.5,1,1,589395.94,593481.9,5,17.694193,4.0859375,0.013396961,41.822315,-87.87263,41.82245,-87.87248,1,11.989796,15.390145,19.796917,-1,1.7465339,2.221047,2.785536,2.656713,2.9944594,3.3348584,1.9290606,2.9162097,2.9162097,10.401529,22.1415,54.101128,91.34713,8.719348,33.199898,1,4.406772,0
