eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,is_ios
5.0,32.083782,4.5120625,0.034731075,10.0,36.940083,31.41633,2.898827,11.065808,50.37148,26.624802,1
5.0,6.137501,2.7152658,0.009049677,10.0,0.11507814,12.543517,3.4178097,16.205065,44.64813,36.484932,1
4.0,16.479189,5.151047,0.021620017,10.0,8.1705475,22.440237,3.022036,16.48745,85.585976,10.067131,1
4.0,7.2831917,5.6269064,0.016266102,4.744093,2.4986126,9.334759,1.4255474,12.986973,73.59846,12.956262,1
5.0,8.881535,4.5015316,0.0128026875,4.753348,3.4474726,14.655898,2.5121253,15.781163,71.67369,24.054272,1
5.0,13.791551,4.300563,0.013826643,4.752535,18.011644,11.55992,2.915252,19.673462,85.397675,12.184196,1
4.0,19.32094,7.596641,0.045128435,4.7502947,11.895775,22.54241,1.3700168,6.683775,51.042885,40.340733,1
5.0,10.184415,4.2085004,0.012360714,5.0,2.8769536,16.686329,3.086194,16.974503,72.11756,15.317939,1
4.0,20.023594,5.6914377,0.029403312,5.0,20.598986,21.404533,2.126812,8.937795,51.227135,82.84763,1
5.0,15.25936,4.689469,0.022625193,5.0,6.559454,22.32516,3.5325232,13.164826,62.263702,15.166108,1
5.0,39.54852,2.7656252,0.05236038,5.0,47.527267,27.73383,3.4966946,12.38942,34.761074,62.231773,1
4.0,15.864342,6.6929536,0.031164346,5.0,7.2499228,25.31719,2.03585,11.744151,79.07374,41.368233,1
5.0,14.61495,8.281281,0.032704473,4.6661363,23.43494,11.376332,1.3003403,11.277538,93.84364,54.446243,1
4.0,18.066006,4.280688,0.021975081,4.668979,15.795218,21.447495,2.251921,11.440474,49.43079,46.731434,1
4.0,13.028512,6.521063,0.028663218,4.666762,13.546567,14.804233,1.7187371,13.073009,85.77292,21.544968,1
4.0,14.659528,5.8409066,0.024902856,4.6694756,4.7975492,24.225405,3.3022308,9.092784,53.47387,107.620865,1
4.0,11.463117,7.721274,0.03274983,4.66815,0.42499682,18.885248,2.0673082,10.950969,84.99128,31.626225,1
4.0,21.243423,4.0589066,0.017538745,5.0,22.32516,20.25375,3.393742,18.230637,74.7219,31.122393,1
5.0,27.302286,3.4222503,0.019762333,5.0,32.452034,24.05133,3.3686793,13.999863,48.468136,43.106495,1
4.0,18.481546,3.6211565,0.015633548,5.0,18.987892,17.952188,3.1294835,17.850428,65.34951,24.959414,1
5.0,21.922386,4.019125,0.024859361,5.0,28.884613,19.10297,1.9906652,10.783059,43.767555,41.80126,1
5.0,8.587706,6.366266,0.010052925,5.0,12.888751,11.737969,1.9535065,14.022552,89.82925,22.408794,1
4.0,8.784758,3.499797,0.008425484,6.478491,4.351243,13.489585,1.1012015,12.122001,42.91218,24.51033,1
4.0,14.048326,4.1434455,0.010930718,10.300797,11.602014,15.334015,2.1254177,14.474613,60.557045,22.156214,1
4.0,9.3406515,6.1053753,0.017635152,4.7245474,10.599561,13.446812,1.6867056,14.880987,91.45174,11.063123,1
4.0,17.123672,6.225969,0.032803334,6.711384,15.037143,20.400084,1.782416,14.95553,93.713394,9.0658,1
4.0,10.811591,4.420125,0.0177673,4.747251,6.583675,17.531582,1.6983641,17.691916,78.90498,4.952293,1
5.0,17.276205,5.53525,0.019835822,4.746118,21.595076,17.466238,2.0721781,15.513053,86.48639,13.1989565,1
4.0,13.995003,6.1325784,0.023938663,4.7467856,12.026306,19.378109,1.970538,15.29943,94.43421,7.653986,1
5.0,6.815742,4.168,0.0060111713,4.875127,7.500528,6.4823995,1.0514524,11.26318,47.39633,10.569742,1
5.0,15.144709,8.416125,0.03377641,4.8776245,15.79566,14.292458,1.2619516,7.6133823,64.3803,40.411842,1
4.0,15.30989,20.038189,0.08370406,4.8236485,16.828613,16.432127,1.0779203,7.788749,156.38457,39.99634,1
4.0,12.676665,5.8913126,0.026330777,4.771853,4.099682,19.387533,2.2518528,14.976307,88.830315,6.611187,1
4.0,14.122287,6.4345,0.02647543,4.7414074,19.161703,12.696781,1.9090034,13.895493,89.96937,12.2895565,1
5.0,10.815201,6.95725,0.023493692,4.7443547,13.948454,11.24704,1.3283795,12.542209,87.763664,19.57808,1
5.0,11.001471,4.852,0.013157443,5.0,12.198282,9.551485,1.7303618,18.506502,90.52957,3.5391576,1
5.0,17.89465,3.698625,0.015277335,5.0,16.57125,19.218048,1.0613879,7.46855,27.920393,21.244879,1
5.0,10.287985,4.6928754,0.0109310215,5.0,8.745938,12.198282,1.964464,17.73586,83.93754,3.6742253,1
4.0,10.874884,4.175875,0.01185787,5.0,6.904688,14.845079,2.8590791,20.050892,84.52745,10.414349,1
5.0,12.198282,4.533875,0.011564332,5.0,15.765705,9.551485,2.9235692,24.616772,112.588394,3.4434912,1
4.0,12.792852,5.7268753,0.020377,5.0,4.257891,19.218048,2.4151473,14.191532,81.83753,18.48678,1
4.0,22.13336,2.982875,0.011684111,5.0,23.591017,20.94422,1.770646,8.503659,25.703558,21.666752,1
5.0,24.480259,10.300688,0.07394642,5.0,22.785471,34.178207,2.7552595,13.718713,141.85777,17.80706,1
5.0,23.610195,5.7663126,0.03303024,5.0,28.884613,21.864845,2.248307,13.9815035,81.177734,14.162007,1
5.0,33.898727,14.275188,0.12252026,5.0,37.63055,33.25758,1.1622545,12.815262,183.44986,9.976087,1
5.0,28.364021,21.078377,0.16287091,5.0,29.690159,35.7893,0.95519376,12.737805,268.99884,4.65695,1
4.0,10.299493,6.005344,0.01806349,5.0,3.452344,15.650626,1.8891445,16.801895,101.569374,6.1665397,1
4.0,9.413391,4.9713755,0.014842101,5.0,10.47211,7.825313,1.6161289,13.897395,69.641884,7.1816516,1
